node_id,depth,byte,count,ratio,type
0,0,,13390,1.0,root
1,1,25.0,211,0.0157580283793876,variable
761,1,26.0,460,0.03435399551904406,variable
2423,1,27.0,434,0.03241224794622853,variable
7098,1,72.0,233,0.017401045556385362,variable
7583,1,73.0,355,0.026512322628827484,variable
8420,1,74.0,169,0.01262135922330097,variable
13634,1,2.0,726,0.05421956684092606,variable
14856,1,3.0,615,0.045929798356982826,variable
16419,1,4.0,198,0.014787154592979836,variable
20316,1,5.0,150,0.011202389843166542,variable
20691,1,6.0,323,0.02412247946228529,variable
21561,1,7.0,326,0.02434652725914862,variable
22486,1,8.0,359,0.026811053024645256,variable
24732,1,9.0,23,0.0017176997759522031,variable
30786,1,0.0,332,0.02479462285287528,variable
31568,1,1.0,312,0.02330097087378641,variable
40151,1,41.0,389,0.029051530993278566,variable
40515,1,42.0,835,0.062359970126960415,variable
41440,1,43.0,1018,0.0760268857356236,variable
42299,1,44.0,334,0.02494398805078417,variable
49159,1,45.0,133,0.009932785660941001,variable
55635,1,110.0,270,0.020164301717699777,variable
56131,1,111.0,342,0.025541448842419715,variable
60257,1,112.0,6,0.00044809559372666166,variable
66455,1,79.0,313,0.02337565347274085,variable
67545,1,80.0,459,0.03427931292008962,variable
69207,1,81.0,263,0.019641523525018672,variable
73169,1,48.0,525,0.039208364451082896,variable
73346,1,49.0,1034,0.07722180731889469,variable
74667,1,50.0,661,0.04936519790888723,variable
82540,1,47.0,414,0.030918595967139657,variable
105960,1,187.0,541,0.040403286034353995,variable
207066,1,10.0,22,0.0016430171769977594,variable
207152,1,11.0,29,0.0021657953696788646,variable
207272,1,12.0,20,0.0014936519790888724,variable
207368,1,13.0,14,0.0010455563853622107,variable
207439,1,14.0,13,0.000970873786407767,variable
239671,1,228.0,2,0.00014936519790888724,variable
239684,1,229.0,23,0.0017176997759522031,variable
239756,1,230.0,17,0.0012696041822255414,variable
239825,1,231.0,17,0.0012696041822255414,variable
239916,1,232.0,8,0.000597460791635549,variable
239957,1,233.0,9,0.0006721433905899926,variable
251304,1,234.0,20,0.0014936519790888724,variable
251399,1,235.0,9,0.0006721433905899926,variable
276429,1,83.0,20,0.0014936519790888724,variable
276540,1,84.0,41,0.003061986557132188,variable
276710,1,85.0,37,0.0027632561613144136,variable
276849,1,86.0,43,0.0032113517550410755,variable
277048,1,87.0,33,0.002464525765496639,variable
277198,1,88.0,38,0.0028379387602688573,variable
277363,1,89.0,12,0.0008961911874533233,variable
323056,1,124.0,5,0.0003734129947722181,variable
323072,1,151.0,2,0.00014936519790888724,variable
323083,1,152.0,30,0.0022404779686333084,variable
323224,1,153.0,31,0.002315160567587752,variable
323371,1,154.0,29,0.0021657953696788646,variable
323490,1,155.0,21,0.001568334578043316,variable
323602,1,156.0,36,0.0026885735623599703,variable
323767,1,157.0,37,0.0027632561613144136,variable
323941,1,158.0,9,0.0006721433905899926,variable
2,2,137.0,2,0.009478672985781991,variable
13,2,142.0,2,0.009478672985781991,variable
24,2,143.0,2,0.009478672985781991,variable
35,2,144.0,2,0.009478672985781991,variable
46,2,146.0,2,0.009478672985781991,variable
57,2,147.0,2,0.009478672985781991,variable
68,2,149.0,2,0.009478672985781991,variable
